RCP26_ind,RCP26_land,RCP45_ind,RCP45_land,RCP60_ind,RCP60_land,RCP85_ind,RCP85_land
-3.4123128,0,5.39569212,0,10.56130608,0,93.492022026,0
-3.4123128,0,5.35430298,0,10.41407952,0,92.502953556,0
-3.4123128,0,5.31291384,0,10.26685296,0,91.513885086,0
-3.4123128,0,5.2715247,0,10.1196264,0,90.524820282,0
-3.4123128,0,5.23013556,0,9.9927828,0,89.535751812,0
-3.4123128,0,5.18874642,0,9.8659392,0,88.546683342,0
-3.4123128,0,5.14735728,0,9.7390956,0,87.557614872,0
-3.4123128,0,5.10596814,0,9.612252,0,86.568546402,0
-3.4123128,0,5.064579,0,9.4854084,0,85.579477932,0
-3.4123128,0,5.0268192,0,9.37410864,0,84.590409462,0
-3.4123128,0,4.9890594,0,9.26280888,0,83.601340992,0
-3.4123128,0,4.9512996,0,9.15150912,0,82.612272522,0
-3.4123128,0,4.9135398,0,9.04020936,0,81.623204052,0
-3.4123128,0,4.87578,0,8.9289096,0,80.634139248,0
-3.4123128,0,4.8380202,0,8.83080744,0,79.645070778,0
-3.4123128,0,4.8002604,0,8.73270528,0,78.656002308,0
-3.4123128,0,4.7625006,0,8.63460312,0,77.666933838,0
-3.4123128,0,4.7247408,0,8.53650096,0,76.677865368,0
-3.4123128,0,4.686981,0,8.4383988,0,75.688796898,0
-3.4123128,0,4.65457356,0,8.35122132,0,74.699728428,0
-3.4123128,0,4.62216612,0,8.26404384,0,73.710659958,0
-3.4123128,0,4.58975868,0,8.17686636,0,72.721591488,0
-3.4123128,0,4.55735124,0,8.08968888,0,71.732523018,0
-3.4123128,0,4.5249438,0,8.0025114,0,70.743458214,0
-3.4123128,0,4.49253636,0,7.9247922,0,69.754389744,0
-3.4123128,0,4.46012892,0,7.847073,0,68.765321274,0
-3.4123128,0,4.42772148,0,7.7693538,0,67.776252804,0
-3.4123128,0,4.39531404,0,7.6916346,0,66.787184334,0
-3.4123128,0,4.3629066,0,7.6139154,0,65.798115864,0
-3.4123128,0,4.33530162,0,7.54433472,0,64.809047394,0
-3.4123128,0,4.30769664,0,7.47475404,0,63.819978924,0
-3.4123128,0,4.28009166,0,7.40517336,0,62.830910454,0
-3.4123128,0,4.25248668,0,7.33559268,0,61.841841984,0
-3.4123128,0,4.2248817,0,7.266012,0,60.85277718,0
-3.4123128,0,4.19727672,0,7.20361668,0,59.86370871,0
-3.4123128,0,4.16967174,0,7.14122136,0,58.87464024,0
-3.4123128,0,4.14206676,0,7.07882604,0,57.88557177,0
-3.4123128,0,4.11446178,0,7.01643072,0,56.8965033,0
-3.4123128,0,4.0868568,0,6.9540354,0,55.90743483,0
-3.4123128,0,4.06324776,0,6.9006951,0,54.91836636,0
-3.4123128,0,4.03963872,0,6.8473548,0,53.92929789,0
-3.4123128,0,4.01602968,0,6.7940145,0,52.94022942,0
-3.4123128,0,3.99242064,0,6.7406742,0,51.951164616,0
-3.4123128,0,3.9688116,0,6.6873339,0,50.962096146,0
-3.4123128,0,3.94520256,0,6.6339936,0,49.973027676,0
-3.4123128,0,3.92159352,0,6.5806533,0,48.983959206,0
-3.4123128,0,3.89798448,0,6.527313,0,47.994890736,0
-3.4123128,0,3.87437544,0,6.4739727,0,47.005822266,0
-3.4123128,0,3.8507664,0,6.4206324,0,46.016753796,0
-3.4123128,0,3.83045676,0,6.37711698,0,45.027685326,0
-3.4123128,0,3.81014712,0,6.33360156,0,44.038616856,0
-3.4123128,0,3.78983748,0,6.29008614,0,43.049548386,0
-3.4123128,0,3.76952784,0,6.24657072,0,42.060483582,0
-3.4123128,0,3.7492182,0,6.2030553,0,41.071415112,0
-3.4123128,0,3.72890856,0,6.15953988,0,40.082346642,0
-3.4123128,0,3.70859892,0,6.11602446,0,39.093278172,0
-3.4123128,0,3.68828928,0,6.07250904,0,38.104209702,0
-3.4123128,0,3.66797964,0,6.02899362,0,37.115141232,0
-3.4123128,0,3.64767,0,5.9854782,0,36.1260731286,0
-3.4123128,0,3.63018318,0,5.94969804,0,35.1370050252,0
-3.4123128,0,3.61269636,0,5.91391788,0,34.1479369218,0
-3.4123128,0,3.59520954,0,5.87813772,0,33.1588688184,0
-3.4123128,0,3.57772272,0,5.84235756,0,32.1698010816,0
-3.4123128,0,3.5602359,0,5.8065774,0,31.1807329782,0
-3.4123128,0,3.54274908,0,5.77079724,0,30.1916648748,0
-3.4123128,0,3.52526226,0,5.73501708,0,29.2025967714,0
-3.4123128,0,3.50777544,0,5.69923692,0,28.213528668,0
-3.4123128,0,3.49028862,0,5.66345676,0,27.2244605646,0
-3.4123128,0,3.4728018,0,5.6276766,0,26.2353924612,0
-3.4123128,0,3.45755124,0,5.59787202,0,25.2463243578,0
-3.4123128,0,3.44230068,0,5.56806744,0,24.2572562544,0
-3.4123128,0,3.42705012,0,5.53826286,0,23.268188151,0
